##name Persian
##ownname فارسی
##isocode fa_IR
##winlangid 0x0429
##grflangid 0x62
##plural 0
##textdir rtl
##digitsep ٬
##digitsepcur ٬

#

##id 0x0000
STR_ERROR_OFF_EDGE_OF_MAP                                       :{WHITE}خارج از نقشه
STR_ABBREV_OIL                                                  :{TINYFONT}OL
STR_ABBREV_LIVESTOCK                                            :{TINYFONT}LV
STR_ABBREV_GOODS                                                :{TINYFONT}GD
STR_ABBREV_GRAIN                                                :{TINYFONT}GR
STR_ABBREV_IRON_ORE                                             :{TINYFONT}OR
STR_ABBREV_STEEL                                                :{TINYFONT}ST
STR_ABBREV_COPPER_ORE                                           :{TINYFONT}CO
STR_ABBREV_MAIZE                                                :{TINYFONT}MZ
STR_ABBREV_FRUIT                                                :{TINYFONT}FT
STR_ABBREV_DIAMONDS                                             :{TINYFONT}DM
STR_ABBREV_FOOD                                                 :{TINYFONT}FD
STR_ABBREV_PAPER                                                :{TINYFONT}PR
STR_ABBREV_GOLD                                                 :{TINYFONT}GD
STR_ABBREV_RUBBER                                               :{TINYFONT}RB
STR_ABBREV_COLA                                                 :{TINYFONT}CL
STR_ABBREV_CANDYFLOSS                                           :{TINYFONT}CF
STR_ABBREV_BUBBLES                                              :{TINYFONT}BU
STR_ABBREV_BATTERIES                                            :{TINYFONT}BA
STR_ABBREV_PLASTIC                                              :{TINYFONT}PL
STR_ABBREV_FIZZY_DRINKS                                         :{TINYFONT}FZ
STR_ABBREV_NONE                                                 :{TINYFONT}NO
STR_ABBREV_ALL                                                  :{TINYFONT}همه
STR_DATE_SHORT_WHITE                                            :{WHITE}{DATE_SHORT}
STR_DATE_LONG_WHITE                                             :{WHITE}{DATE_LONG}
STR_SMALLMAP_CAPTION                                            :{WHITE}نقشه - {STRING}
STR_GAME_OPTIONS_CAPTION                                        :{WHITE}تنظیمات بازی
STR_ERROR_MESSAGE_CAPTION                                       :{YELLOW}پیام
STR_ERROR_MESSAGE_CAPTION_OTHER_COMPANY                         :{YELLOW}پیام از {STRING}
STR_ERROR_CAN_T_DO_THIS                                         :{WHITE}نمی‌توانم انجام دهم
STR_ERROR_CAN_T_CLEAR_THIS_AREA                                 :{WHITE}این منطقه پاک نمی‌شود
STR_ABOUT_ORIGINAL_COPYRIGHT                                    :{BLACK}Original copyright {COPYRIGHT} 1995 Chris Sawyer, All rights reserved
STR_ABOUT_VERSION                                               :{BLACK}OpenTTD version {REV}
STR_ABOUT_COPYRIGHT_OPENTTD                                     :{BLACK}OpenTTD {COPYRIGHT}2002-2009 The OpenTTD team

STR_BLACK_CROSS                                                 :{BLACK}{CROSS}
STR_SILVER_CROSS                                                :{SILVER}{CROSS}
STR_QUIT_CAPTION                                                :{WHITE}خروج
STR_YES                                                         :{BLACK}بله
STR_NO                                                          :{BLACK}خیر
STR_ARE_YOU_SURE_YOU_WANT_TO_EXIT_OPENTTD                       :{YELLOW}آیا می‌خواهید از بازی خارج شوید و برگردید به{STRING}?
STR_BLACK_1                                                     :{BLACK}1
STR_BLACK_2                                                     :{BLACK}2
STR_BLACK_3                                                     :{BLACK}3
STR_BLACK_4                                                     :{BLACK}4
STR_BLACK_5                                                     :{BLACK}5
STR_JUST_NOTHING                                                :هیچی
STR_COLOUR_DARK_BLUE                                            :آبی تیره
STR_COLOUR_PALE_GREEN                                           :سبز روشن
STR_COLOUR_PINK                                                 :صورتی
STR_COLOUR_YELLOW                                               :زرد
STR_COLOUR_RED                                                  :قرمز
STR_COLOUR_LIGHT_BLUE                                           :آبی روشن
STR_COLOUR_GREEN                                                :سبز
STR_COLOUR_DARK_GREEN                                           :سبز تیره
STR_COLOUR_BLUE                                                 :آبی
STR_COLOUR_CREAM                                                :کرم
STR_COLOUR_MAUVE                                                :بنفش تیره
STR_COLOUR_PURPLE                                               :بنفش
STR_COLOUR_ORANGE                                               :نارنجی
STR_COLOUR_BROWN                                                :قهوه‌ای
STR_COLOUR_GREY                                                 :خاکستری
STR_COLOUR_WHITE                                                :سفید
STR_ERROR_TOO_MANY_VEHICLES_IN_GAME                             :{WHITE}ماشین‌های زیادی در بازی هستند
STR_BLACK_COMMA                                                 :{BLACK}{COMMA}
STR_RED_COMMA                                                   :{RED}{COMMA}
STR_BUTTON_LOCATION                                             :{BLACK}مختصات
STR_SMALLMAP_TYPE_VEHICLES                                      :وسایل نقلیه
STR_SMALLMAP_TYPE_INDUSTRIES                                    :کارخانه‌ها
STR_SMALLMAP_TYPE_OWNERS                                        :صاحبان
STR_SMALLMAP_LEGENDA_ROADS                                      :{BLACK}{TINYFONT}جاده ها
STR_SMALLMAP_LEGENDA_RAILROADS                                  :{BLACK}{TINYFONT}راه آهن
STR_SMALLMAP_LEGENDA_STATIONS_AIRPORTS_DOCKS                    :{BLACK}{TINYFONT}ایستگاه/فرودگاه/بندر
STR_SMALLMAP_LEGENDA_BUILDINGS_INDUSTRIES                       :{BLACK}{TINYFONT}ساختمانها/کارخانجات
STR_SMALLMAP_LEGENDA_VEHICLES                                   :{BLACK}{TINYFONT}ماشینها
STR_SMALLMAP_LEGENDA_100M                                       :{BLACK}{TINYFONT}100m
STR_SMALLMAP_LEGENDA_200M                                       :{BLACK}{TINYFONT}200m
STR_SMALLMAP_LEGENDA_300M                                       :{BLACK}{TINYFONT}300m
STR_SMALLMAP_LEGENDA_400M                                       :{BLACK}{TINYFONT}400m
STR_SMALLMAP_LEGENDA_500M                                       :{BLACK}{TINYFONT}500m
STR_SMALLMAP_LEGENDA_TRAINS                                     :{BLACK}{TINYFONT}قطارها
STR_SMALLMAP_LEGENDA_ROAD_VEHICLES                              :{BLACK}{TINYFONT}ماشین ها
STR_SMALLMAP_LEGENDA_SHIPS                                      :{BLACK}{TINYFONT}کشتی ها
STR_SMALLMAP_LEGENDA_AIRCRAFT                                   :{BLACK}{TINYFONT}هواپیما
STR_SMALLMAP_LEGENDA_TRANSPORT_ROUTES                           :{BLACK}{TINYFONT}مسیر حمل و نقل
STR_SMALLMAP_LEGENDA_FOREST                                     :{BLACK}{TINYFONT}جنگل
STR_SMALLMAP_LEGENDA_RAILROAD_STATION                           :{BLACK}{TINYFONT}ایستگاه قطار
STR_SMALLMAP_LEGENDA_BUS_STATION                                :{BLACK}{TINYFONT}ایستگاه اتوبوس
STR_SMALLMAP_LEGENDA_AIRPORT_HELIPORT                           :{BLACK}{TINYFONT}هواپیما/بالگرد
STR_SMALLMAP_LEGENDA_DOCK                                       :{BLACK}{TINYFONT}اسکله
STR_SMALLMAP_LEGENDA_ROUGH_LAND                                 :{BLACK}{TINYFONT}زمین سنگی
STR_SMALLMAP_LEGENDA_GRASS_LAND                                 :{BLACK}{TINYFONT}زمین علفی
STR_SMALLMAP_LEGENDA_BARE_LAND                                  :{BLACK}{TINYFONT}زمین بایر
STR_SMALLMAP_LEGENDA_FIELDS                                     :{BLACK}{TINYFONT}محوطه ها
STR_SMALLMAP_LEGENDA_TREES                                      :{BLACK}{TINYFONT}درختان
STR_SMALLMAP_LEGENDA_ROCKS                                      :{BLACK}{TINYFONT}سخره ها
STR_SMALLMAP_LEGENDA_WATER                                      :{BLACK}{TINYFONT}آب
STR_SMALLMAP_LEGENDA_NO_OWNER                                   :{BLACK}{TINYFONT}بدون مالک
STR_SMALLMAP_LEGENDA_TOWNS                                      :{BLACK}{TINYFONT}شهر
STR_SMALLMAP_LEGENDA_INDUSTRIES                                 :{BLACK}{TINYFONT}کارخانه
STR_SMALLMAP_LEGENDA_DESERT                                     :{BLACK}{TINYFONT}صحرا
STR_SMALLMAP_LEGENDA_SNOW                                       :{BLACK}{TINYFONT}برف
STR_NEWS_MESSAGE_CAPTION                                        :{WHITE}پیغام
STR_QUERY_CAPTION                                               :{WHITE}{STRING}
STR_QUERY_CANCEL                                                :{BLACK}لغو
STR_QUERY_OK                                                    :{BLACK}تایید
STR_QUERY_RENAME                                                :{BLACK}نام گزاری


STR_ERROR_OWNED_BY                                              :{WHITE} صاحب {STRING} است.
STR_VEHICLE_DETAIL_TAB_CARGO                                    :{BLACK}محموله
STR_VEHICLE_DETAIL_TAB_INFORMATION                              :{BLACK}اطلاعات
STR_VEHICLE_DETAIL_TAB_CAPACITIES                               :{BLACK}ضرفیت ها
STR_INTRO_NEW_GAME                                              :{BLACK}بازی جدید
STR_INTRO_LOAD_GAME                                             :{BLACK}ادامه بازی های قبلی

STR_INTRO_GAME_OPTIONS                                          :{BLACK}تنضیمات بازی










############ range for menu starts
STR_GRAPH_MENU_OPERATING_PROFIT_GRAPH                           :نمودار سود خالص
STR_GRAPH_MENU_INCOME_GRAPH                                     :نمودار درآمد
STR_GRAPH_MENU_DELIVERED_CARGO_GRAPH                            :نمودار محموله های رسانده شده
STR_GRAPH_MENU_PERFORMANCE_HISTORY_GRAPH                        :نمودار پیشرفت شرکت ها
STR_GRAPH_MENU_COMPANY_VALUE_GRAPH                              :نمودار ارزش شرکت ها
STR_GRAPH_MENU_CARGO_PAYMENT_RATES                              :نمودار قیمت پرداختی محموله ها
############ range for menu ends

STR_ABOUT_OPENTTD                                               :{WHITE}OpenTTD در باره ی
STR_FILE_MENU_SAVE_GAME                                         :ذخیره بازی
STR_FILE_MENU_QUIT_GAME                                         :رها کردن بازی
STR_FILE_MENU_EXIT                                              :خروج
STR_ABANDON_GAME_QUERY                                          :{YELLOW}آیا مطمئن هستی که میخواهی این بازی را از بین ببری؟
STR_ABANDON_GAME_CAPTION                                        :{WHITE}رها کردن بازی


############ range for months starts
STR_MONTH_ABBREV_JAN                                            :بهمن
STR_MONTH_ABBREV_FEB                                            :اسفند
STR_MONTH_ABBREV_MAR                                            :فروردین
STR_MONTH_ABBREV_APR                                            :اردیبهشت
STR_MONTH_ABBREV_MAY                                            :خرداد
STR_MONTH_ABBREV_JUN                                            :تیر
STR_MONTH_ABBREV_JUL                                            :مرداد
STR_MONTH_ABBREV_AUG                                            :شهریور
STR_MONTH_ABBREV_SEP                                            :مهر
STR_MONTH_ABBREV_OCT                                            :آبان
STR_MONTH_ABBREV_NOV                                            :آذر
STR_MONTH_ABBREV_DEC                                            :دی
############ range for months ends

STR_TOOLBAR_TOOLTIP_PAUSE_GAME                                  :{BLACK}متوقف کردن بازی
STR_TOOLBAR_TOOLTIP_SAVE_GAME_ABANDON_GAME                      :{BLACK}ذخیره بازی، ترک بازی، خروج از بازی
STR_TOOLBAR_TOOLTIP_DISPLAY_LIST_OF_COMPANY_STATIONS            :{BLACK}لیست ایستگاه های شرکت ها را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_MAP                                 :{BLACK}نقشه، پنجره اضافی یا لیست علامت ها را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_MAP_TOWN_DIRECTORY                  :{BLACK}نقشه، لیست شهر ها را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_TOWN_DIRECTORY                      :{BLACK}لیست شهرها را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_COMPANY_FINANCES                    :{BLACK}اطلاعات مالی شرکت را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_COMPANY_GENERAL                     :{BLACK}توضیحات کلی راجع به شرکت را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_GRAPHS                              :{BLACK}نمودار ها را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_COMPANY_LEAGUE                      :{BLACK}جدول رده بندی شرکت ها را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_LIST_OF_COMPANY_TRAINS              :{BLACK}لیست قطار های شرکت ها را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_LIST_OF_COMPANY_ROAD_VEHICLES       :{BLACK}لیست ماشین های شرکت را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_LIST_OF_COMPANY_SHIPS               :{BLACK}لیست کشتی های شرکت را نشان می دهد
STR_TOOLBAR_TOOLTIP_DISPLAY_LIST_OF_COMPANY_AIRCRAFT            :{BLACK}لیست هواپیماهای شرکت را نشان می دهد
STR_TOOLBAR_TOOLTIP_ZOOM_THE_VIEW_IN                            :{BLACK}تصویر را بزرگ می کند
STR_TOOLBAR_TOOLTIP_ZOOM_THE_VIEW_OUT                           :{BLACK}تصویر را کوچک می کند
STR_TOOLBAR_TOOLTIP_BUILD_RAILROAD_TRACK                        :{BLACK}ساخت راه آهن
STR_TOOLBAR_TOOLTIP_BUILD_ROADS                                 :{BLACK}ساخت جاده
STR_TOOLBAR_TOOLTIP_BUILD_SHIP_DOCKS                            :{BLACK}ساخت اسکله
STR_TOOLBAR_TOOLTIP_BUILD_AIRPORTS                              :{BLACK}ساخت فرودگاه
STR_TOOLBAR_TOOLTIP_PLANT_TREES_PLACE_SIGNS                     :{BLACK}کاشتن درختان، قرار دادن علامت و غیره
STR_TOOLBAR_TOOLTIP_LAND_BLOCK_INFORMATION                      :{BLACK}توضیحات درباره ی زمین
STR_TOOLBAR_TOOLTIP_OPTIONS                                     :{BLACK}تنضیمات
STR_SMALL_ARROW_UP                                              :{BLACK}{SMALLUPARROW}
STR_SMALL_ARROW_DOWN                                            :{BLACK}{SMALLDOWNARROW}
STR_TOOLTIP_CLOSE_WINDOW                                        :{BLACK}بستن پنجره
STR_TOOLTIP_DEMOLISH_BUILDINGS_ETC                              :{BLACK}تخریب ساختمان و ... در بخشی از زمین
STR_TERRAFORM_TOOLTIP_LOWER_A_CORNER_OF_LAND                    :{BLACK}پایین آوردن گوشه ی نقشه
STR_TERRAFORM_TOOLTIP_RAISE_A_CORNER_OF_LAND                    :{BLACK}بال آوردن گوشه ی نقشه
STR_SMALLMAP_TOOLTIP_SHOW_LAND_CONTOURS_ON_MAP                  :{BLACK}حاشیه ی زمین را در نقشه نشان بده
STR_SMALLMAP_TOOLTIP_SHOW_VEHICLES_ON_MAP                       :{BLACK}وسایل حمل و نقل را در صفحه نشن بده
STR_SMALLMAP_TOOLTIP_SHOW_INDUSTRIES_ON_MAP                     :{BLACK}کارخانه ها را در نقشه نشان بده
STR_SMALLMAP_TOOLTIP_SHOW_TRANSPORT_ROUTES_ON                   :{BLACK}مسیر های حمل و نقل را در نقشه نشان بده
STR_SMALLMAP_TOOLTIP_SHOW_LAND_OWNERS_ON_MAP                    :{BLACK}صاحب زمین را در نقشه نشان بده
STR_SMALLMAP_TOOLTIP_TOGGLE_TOWN_NAMES_ON_OFF                   :{BLACK}نشان دادن یا ندادن اسم شهر ها در نقشه
STR_VEHICLE_LIST_PROFIT_THIS_YEAR_LAST_YEAR                     :{TINYFONT}{BLACK}سود امسال : {CURRENCY} (سود پارسال: {CURRENCY})

############ range for service numbers starts
STR_AGE                                                         :{COMMA}سال{P "" s} ({COMMA})
STR_AGE_RED                                                     :{RED}{COMMA} سال{P "" s} ({COMMA})
############ range for service numbers ends

STR_VEHICLE_TRAIN                                               :قطار
STR_VEHICLE_ROAD_VEHICLE                                        :ماشین
STR_VEHICLE_SHIP                                                :کشتی
STR_VEHICLE_AIRCRAFT                                            :هواپیما
STR_LAND_AREA_INFORMATION_CAPTION                               :{WHITE}اطلاعات زمین
STR_LAND_AREA_INFORMATION_COST_TO_CLEAR_N_A                     :{BLACK}هزینه پاک کردن: {LTBLUE}0
STR_LAND_AREA_INFORMATION_COST_TO_CLEAR                         :{BLACK}هزینه پاک کردن: {RED}{CURRENCY}
STR_LAND_AREA_INFORMATION_OWNER_N_A                             :0
STR_VEHICLE_NAME_BUTTON                                         :{BLACK}نام
STR_VEHICLE_NAME_SMALL                                          :{BLACK}{TINYFONT}{VEHICLE}

############ range for days starts
STR_ORDINAL_NUMBER_1ST                                          :1
STR_ORDINAL_NUMBER_2ND                                          :2
STR_ORDINAL_NUMBER_3RD                                          :3
STR_ORDINAL_NUMBER_4TH                                          :4
STR_ORDINAL_NUMBER_5TH                                          :5
STR_ORDINAL_NUMBER_6TH                                          :6
STR_ORDINAL_NUMBER_7TH                                          :7
STR_ORDINAL_NUMBER_8TH                                          :8
STR_ORDINAL_NUMBER_9TH                                          :9
STR_ORDINAL_NUMBER_10TH                                         :10
STR_ORDINAL_NUMBER_11TH                                         :11
STR_ORDINAL_NUMBER_12TH                                         :12
STR_ORDINAL_NUMBER_13TH                                         :13
STR_ORDINAL_NUMBER_14TH                                         :14
STR_ORDINAL_NUMBER_15TH                                         :15
STR_ORDINAL_NUMBER_16TH                                         :16
STR_ORDINAL_NUMBER_17TH                                         :17
STR_ORDINAL_NUMBER_18TH                                         :18
STR_ORDINAL_NUMBER_19TH                                         :19
STR_ORDINAL_NUMBER_20TH                                         :20
STR_ORDINAL_NUMBER_21ST                                         :21
STR_ORDINAL_NUMBER_22ND                                         :22
STR_ORDINAL_NUMBER_23RD                                         :23
STR_ORDINAL_NUMBER_24TH                                         :24
STR_ORDINAL_NUMBER_25TH                                         :25
STR_ORDINAL_NUMBER_26TH                                         :26
STR_ORDINAL_NUMBER_27TH                                         :27
STR_ORDINAL_NUMBER_28TH                                         :28
STR_ORDINAL_NUMBER_29TH                                         :29
STR_ORDINAL_NUMBER_30TH                                         :30
STR_ORDINAL_NUMBER_31ST                                         :31
############ range for days ends

STR_GRAPH_Y_LABEL_NUMBER                                        :{TINYFONT}{COMMA}

STR_LAND_AREA_INFORMATION_CARGO_ACCEPTED                        :{BLACK}محموله های دریافتی : {LTBLUE}

STR_LAND_AREA_INFORMATION_CARGO_EIGHTS                          :({COMMA}/8 {STRING})
STR_TOOLBAR_SOUND_MUSIC                                         :صدا/موسیقی
STR_TOOLBAR_TOOLTIP_SHOW_SOUND_MUSIC_WINDOW                     :{BLACK}صفحه ی صدا/موسیقی
STR_MUSIC_PLAYLIST_ALL                                          :{TINYFONT}همه:
STR_MUSIC_PLAYLIST_OLD_STYLE                                    :{TINYFONT}مدل قدیمی
STR_MUSIC_PLAYLIST_NEW_STYLE                                    :{TINYFONT}مدل جدید
STR_MUSIC_PLAYLIST_CUSTOM_1                                     :{TINYFONT}انتخابی 1
STR_MUSIC_PLAYLIST_CUSTOM_2                                     :{TINYFONT}انتخابی 2
STR_MUSIC_MUSIC_VOLUME                                          :{BLACK}{TINYFONT}شدت صدای موسیقی
STR_MUSIC_EFFECTS_VOLUME                                        :{BLACK}{TINYFONT}شدت صدای محیط
STR_MUSIC_MIN_MAX_RULER                                         :{BLACK}{TINYFONT}حد اکثر . . . . . . . . . حد اقل
STR_MUSIC_TOOLTIP_SKIP_TO_PREVIOUS_TRACK                        :{BLACK}بازگشت به آهنگ قبلی در لیست انتخاب شده ها
STR_MUSIC_TOOLTIP_SKIP_TO_NEXT_TRACK_IN_SELECTION               :{BLACK}آهنگ بعدی در لیست انتخاب شده ها
STR_MUSIC_TOOLTIP_STOP_PLAYING_MUSIC                            :{BLACK}توقف موسیقی
STR_MUSIC_TOOLTIP_START_PLAYING_MUSIC                           :{BLACK}پخش موسیقی
STR_MUSIC_TRACK_NONE                                            :{DKGREEN}{TINYFONT}--
STR_MUSIC_TRACK_SINGLE_DIGIT                                    :{DKGREEN}{TINYFONT}0{COMMA}
STR_MUSIC_TRACK_DOUBLE_DIGIT                                    :{DKGREEN}{TINYFONT}{COMMA}
STR_MUSIC_TITLE_NONE                                            :{DKGREEN}{TINYFONT}------
STR_MUSIC_TITLE_NAME                                            :{DKGREEN}{TINYFONT}"{STRING}"
STR_MUSIC_SHUFFLE                                               :{TINYFONT}پخش تصادفی
STR_MUSIC_PROGRAM                                               :{TINYFONT}{BLACK}برنامه
STR_PLAYLIST_TRACK_SINGLE_DIGIT                                 :{TINYFONT}{LTBLUE}0{COMMA} "{STRING}"
STR_PLAYLIST_TRACK_DOUBLE_DIGIT                                 :{TINYFONT}{LTBLUE}{COMMA} "{STRING}"
STR_PLAYLIST_TRACK_INDEX                                        :{TINYFONT}{BLACK}شماره ی آهنگ
STR_PLAYLIST_CLEAR                                              :{TINYFONT}{BLACK}پاک کن
STR_PLAYLIST_SAVE                                               :{TINYFONT}{BLACK}ذخیره کن
STR_INTRO_DIFFICULTY                                            :{BLACK}سختی ({STRING})
STR_DATE_LONG_SMALL                                             :{TINYFONT}{BLACK}{DATE_LONG}
STR_NEWS_MENU_MESSAGE_SETTINGS                                  :تنظیمات پیغام ها
STR_NEWS_MESSAGE_OPTIONS_CAPTION                                :{WHITE}انتخاب های پیغام ها
STR_NEWS_MESSAGE_TYPES                                          :{BLACK}انواع پیغام ها
STR_NEWS_MESSAGE_TYPE_ARRIVAL_OF_FIRST_VEHICLE_OWN              :{YELLOW}رسیدن اولین وسیله نقلیه به یکی ازایستگاه های بازیکن
STR_NEWS_MESSAGE_TYPE_ARRIVAL_OF_FIRST_VEHICLE_OTHER            :{YELLOW}رسیدن اولین وسیله نقلیه به یکی ازایستگاه ها کامپوتر
STR_NEWS_MESSAGE_TYPE_ACCIDENTS_DISASTERS                       :{YELLOW}حوادث / بلایا
STR_NEWS_MESSAGE_TYPE_COMPANY_INFORMATION                       :{YELLOW}اطلاعات شرکت
STR_NEWS_MESSAGE_TYPE_ECONOMY_CHANGES                           :{YELLOW}تغییرات اقتصادی
STR_NEWS_MESSAGE_TYPE_ADVICE_INFORMATION_ON_COMPANY             :{YELLOW}راهنمایی یا اطلاعات درباره ی وسایل حمل و نقل شرکت
STR_NEWS_MESSAGE_TYPE_NEW_VEHICLES                              :{YELLOW}وسیله نقلیه جدید
STR_NEWS_MESSAGE_TYPE_CHANGES_OF_CARGO_ACCEPTANCE               :{YELLOW}تغیرات دریاف کالا
STR_NEWS_MESSAGE_TYPE_SUBSIDIES                                 :{YELLOW}کمک هزینه
STR_NEWS_MESSAGE_TYPE_GENERAL_INFORMATION                       :{YELLOW}توضیهات کلی
STR_ERROR_TOO_FAR_FROM_PREVIOUS_DESTINATION                     :{WHITE}از هدف قبلی بسیار دور است......
STR_HIGHSCORE_POSITION                                          :{BIGFONT}{COMMA}.
STR_HIGHSCORE_PERFORMANCE_TITLE_BUSINESSMAN                     :تاجر
STR_BLUE_NUMBER                                                 :{BLUE}{COMMA}
STR_SCENEDIT_TOOLBAR_OPENTTD                                    :{YELLOW}OpenTTD
STR_TERRAFORM_TOOLBAR_LAND_GENERATION_CAPTION                   :{WHITE}طراحی اتوماتیک سرزمین
STR_ARROW_UP                                                    :{BLACK}{UPARROW}
STR_ARROW_DOWN                                                  :{BLACK}{DOWNARROW}
STR_TERRAFORM_TOOLTIP_GENERATE_RANDOM_LAND                      :{BLACK}نقشه ی تصادفی بساز
STR_TERRAFORM_RESET_LANDSCAPE                                   :{BLACK}تمام تغییرات را بر گردان
STR_QUERY_RESET_LANDSCAPE_CAPTION                               :{WHITE}تمام تغییرات را بر گردان
STR_SCENEDIT_TOOLBAR_LANDSCAPE_GENERATION                       :{BLACK}طراحی اتوماتیک سرزمین
STR_SCENEDIT_TOOLBAR_TOWN_GENERATION                            :{BLACK}طراحی مشخصات شهر ها
STR_SCENEDIT_TOOLBAR_INDUSTRY_GENERATION                        :{BLACK}طراحی مشخصات کارخانه ها
STR_SCENEDIT_TOOLBAR_ROAD_CONSTRUCTION                          :{BLACK}طراحی مشخصات کارخانه ها
STR_FOUND_TOWN_CAPTION                                          :{WHITE}طراحی مشخصات شهر ها
STR_FOUND_TOWN_NEW_TOWN_BUTTON                                  :{BLACK}شهر جدید
